feature_id,R187,R224,R229,R239,R252,R269,R279,R284,R300,R306,R308,R310,R314,R326,R333,R335,R338,R346,R363,R370,R373,R374,R375,R392,R396,R409,R411,R415,R424,R426,R186,R217,R218,R225,R233,R260,R266,R267,R288,R290,R297,R319,R353,R354,R369,R391,R416,R419,R428
Q9H4B7,2115.893333,1474.6,450.87,3345.19,2134.55,NA,NA,537.093,1421.585,1893.5,2065.33,1903.29,NA,NA,NA,NA,NA,1747.86,NA,NA,NA,NA,NA,NA,1389.76,NA,NA,NA,NA,NA,2987.57,2250.68,2480.05,2174.285,3082.81,NA,1522.41,NA,1534.006667,2038.296667,NA,NA,NA,NA,NA,NA,1621.22,1328.74,NA
Q9H4E7,3692.155,6040.44,NA,4751.185,NA,5962.41,1934.19,3224.685,8587.49,11094.28,10569.32333,25588.325,17883.9,6234.936667,4492.16,3696.85,6751.82,4700.7,4559.61,11063.32,7879.19,9290.02,39134.73333,5852.54,29381.33333,NA,NA,1560.42,3772.665,NA,3840.205,11370.07333,5151.246667,4791.53,NA,2970.61,NA,NA,3221.11,13475.45,1617.675,10702.7,5793.955,8269.393333,10549.81,12689.3,3063.81,NA,2050.64
Q9H4F1,873.2923333,1251.643333,1454.322667,1041.6,1013.264,1227.76,1179.135,706.068,1659.51,NA,653.512,NA,NA,NA,1186.495,1281.872667,916.266,1224.47,597.602,1607.51,790.714,1034.93,NA,581.049,1983.01,NA,888.887,1258.13,1353.08,1725.256667,738.781,NA,1111.23,1586.663333,1066.758,1220.29,1360.111,NA,639.125,NA,930.16,NA,1700.98,1016.7865,NA,NA,831.548,NA,NA
Q9H4F8,2866.35,6009.246667,7964.393333,10239.66,6230.656667,4594.653333,3885.933333,8412.346667,6558.846667,5376.263333,5883.23,2718.59,7303.7,9727.22,5521.513333,3306.766667,2778.693333,3813.956667,4841.49,2631.536667,4728.346667,3559.593333,3673.57,4695.686667,2408.156667,7516.496667,5822.91,3634.75,3948.69,3642.496667,4854.486667,4578.82,3594.566667,2703.623333,6551.386667,9997.173333,5648.69,10672.74,7855.74,6985.403333,5303.293333,2566.59,5228.186667,4651.586667,7639.976667,5881.353333,2981.803333,4697.59,3952.86
Q9H4G0,31524.5,25255.56667,25938.63333,34450.66667,29116.46667,29164.4,21861.76667,23327.66667,26942.33333,29437.23333,36332.93333,34778.8,20346.53333,25281.86667,25456.86667,23265.66667,26836.66667,27081.6,29733.43333,29310.96667,25536,21790.1,27434.66667,29282.53333,18671.06667,26886.93333,25153.8,28862.93333,21160.43333,29346.4,29169.33333,27671.56667,27508.93333,31210.1,29044.93333,16382.9,26731.06667,16809.3,29930.4,29158.46667,23526.16667,33826.56667,24397.33333,30934.4,16247.03333,25498.6,26986.76667,28378.5,24097.53333
Q9H4G4,14500.7,18124.76667,15766.7,16833.76667,19416.63333,16377.26667,16976.13333,14650.16667,14958.9,18195.13333,14761.1,12421.35,19565.66667,27191.4,13532,14171.1,14986,19379.5,18292.53333,13708.40333,14187.4,17546.76667,15896.63333,26417.36667,17622.76667,19807.4,18940.5,16045.06667,19606.3,23684.8,13105.63333,18124.33333,16306.03333,16982.83333,17234.46667,36039.4,16665.73333,23398.26667,18196.56667,20287.86667,24452.86667,20318.2,18877,19132.26667,16926.8,23182.46667,18684.76667,14125.16667,25504.96667
Q9H4I2,1890.963333,1760.524333,1573.341,2191.826667,1920.936667,3300.626667,1644.14,2858.813333,2437.48,2100.936667,1822.220667,1442.655,2086.288333,2062.516667,2381.24,1996.44,1573.426667,1430.633333,1949.49,1922.572667,2488.956667,2323.26,299.427,2213.356667,NA,2468.133333,2138.926667,2298.193333,1832.83,2629.97,2666.5915,2779.573333,1535.5595,1746.573333,2279.163333,2092.603333,2250.922,1978.573667,1989.62,1874.173333,3343.323333,2359.753333,1208.032,3367.586667,2606.133333,1893.745,2271.6,2392.596667,2763.066667
Q9H4I3,15116.8,13708.76,12705.53333,16047.76667,13545.46667,15041.43333,17051,12106.15667,13461.96667,12630.11333,12410.7,11126.45,16834.2,10951.15667,13661.06667,23473.66667,12628.8,13663.43333,8500.68,11612.1,15550,14846.76667,16172.43333,12292.44667,11963.46,12629.13333,12584,13897.36667,16184.36667,12351.73333,15902.8,12804.56667,12399.08667,14728.76667,13737.13333,16113.96667,12697.26667,13145.86667,11972.17333,11922.98333,11213.63333,14307.8,10520.63,13058.27,14507.2,10930.36667,13375.23,14659.76667,12692.76667
Q9H4I9,4488.563333,6822.523333,5121.84,7739.493333,7937.393333,10555.51667,5543.91,8977.746667,5480.993333,6770.59,4750.366667,3446.45,7787.606667,7526.09,9001.973333,5918.066667,7411.31,8997.936667,9436.983333,9367.25,9526.51,6409.166667,3870.973333,13008.56667,9674.296667,9293.863333,12151.46667,9586.983333,9738.54,16561.73333,3701.85,4694.19,6099.576667,6578.92,5725.386667,10581.07667,12095.73333,11765.33333,5801.656667,4013.71,11157.76333,8170.663333,13148.31,9778.1,6463.876667,11335.73667,9314.496667,14073.73333,13385.93333
Q9H4L4,11118.70333,12142.26667,10008.90333,10004.56,11073.90667,9496.976667,12071.63333,10258.65333,9570.586667,9819.863333,9516.863333,11425.3,13479.66667,10235.31,9710.726667,10996.6,10679.46333,9986.023333,9606.53,13292,10246.82333,10508.3,10629.30333,10093.22333,7651.356667,9364.73,9713.986667,9391.876667,7883.17,8521.653333,11435.9,11519.52,11076.00667,10255.43667,9175.163333,10255.65667,10143.49333,10972.77,9924.813333,10900.23333,8364.48,9647.19,7186.78,10536.58333,9423.533333,9907.716667,10707.1,8667.69,8994.246667
Q9H4L7,2292.21,3189.953333,2819.55,2973.45,2334.603333,2986.516667,2711.023333,2928.436667,2885.15,2627.313333,3062.273333,3874.745,2961.103333,1447.710333,3775.156667,2995.32,3105.236667,3327.883333,2553.276667,2744.143333,2737.286667,2209.88,2394.195,3510,2471.3,3531.1,2791.04,3529.903333,2977.576667,2742.166667,2125.32,2692.893333,3054.605,2805.023333,1925.92,3499.595,3186.97,2545.855,2242.54,3014.803333,2198.846667,2492.115,2797.27,2871.765,3011.896667,3253.006667,3173.07,2975.756667,2517.446667
Q9H4M9,69427.03333,89213.7,57026.86667,67184.4,55655.4,67008.53333,81034.53333,59780.56667,70497.2,59346.7,71858.2,56337.86667,67182.23333,62462.36667,57205.93333,57882.13333,55420.4,64712.86667,57467.73333,63271.1,62080.46667,76231.13333,65809.86667,64641.1,55512.46667,65503.46667,57494.7,64763.63333,64420.46667,65138.03333,65237,70364.13333,65974.73333,72180.43333,65495.5,87679.83333,71266.83333,61943.83333,63188.26667,73720,62836.33333,66422.2,61171.6,65913.1,64786.8,66641.06667,61312.5,42971.2,60486.4
Q9H4P4,4478.91,3907.06,4415.216667,5297.733333,4625.316667,3715.92,6163.125,5757.185,3236.1,6571.6,3787.1,4901.845,3670.45,3922.93,5682.806667,5793.643333,4031.056667,5090.965,3802.88,2659.05,3809.8,4752.526667,4945.47,4625.79,3070.125,4218.653333,3004.513333,5126.576667,3466.95,2867.31,5690.436667,4333.513333,3171.503333,3889.245,4230.683333,6258.006667,6570.94,4397.265,4427.243333,2569.595,3438.696667,4758.905,4159.63,8063.766667,4073.03,5531.113333,4920.246667,4169.306667,3980.33
