Image,Freq
HPAP-099_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,11546
HPAP-105_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8339
HPAP-105_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,8558
HPAP-105_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI5.ome.tiff - Image0,8941
HPAP-105_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,9329
HPAP-105_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,9144
HPAP-105_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,7849
HPAP-105_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,8810
HPAP-105_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9114
HPAP-105_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,7581
HPAP-118_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8900
HPAP-118_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,9954
HPAP-118_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9262
HPAP-118_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,11017
HPAP-118_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,11454
HPAP-118_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,10386
HPAP-118_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,12101
HPAP-118_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,11453
HPAP-118_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,10640
HPAP-136_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,10764
HPAP-136_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,11434
HPAP-139_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,9138
