"","AL.oldAL1","AL.oldAL2","CR.oldCR1","CR.oldCR2"
"Tex35",0,1,0,1
"Rasal2",393,179,286,605
"Cryzl2",24,15,20,69
"Gm15486",1,2,0,2
"Sec16b",80,52,49,173
"Brinp2",61,64,55,108
"Astn1",186,98,160,350
"Gm37679",3,3,0,3
"Pappa2",456,519,256,542
"Cop1",266,107,199,554
"Tnr",1051,725,1111,3201
"Gm10530",1,0,0,3
"Gm38039",1,1,0,2
"4930523C07Rik",49,27,41,137
"Tnn",7,4,1,12
"Mrps14",8,6,9,11
"Cacybp",11,16,8,24
"Rabgap1l",899,519,750,1987
"Gm36975",33,11,27,67
"Gm37529",13,14,19,36
"Gpr52",0,1,2,4
"Rc3h1",271,129,243,632
"Serpinc1",7,2,6,15
"Zbtb37",34,19,23,90
"Gm37362",0,0,1,1
"Gas5",67,38,40,125
"Dars2",16,23,11,48
"Gm37634",0,0,0,1
"Cenpl",0,3,1,3
"Klhl20",37,21,36,95
"Ankrd45",8,9,9,32
"Tex50",0,0,0,0
"Prdx6",27,29,49,76
"Suco",260,106,190,519
"4930558K02Rik",0,3,1,6
"Pigc",10,8,1,19
"Gm38304",7,3,13,28
"Dnm3",229,207,144,497
"Dnm3os",0,1,0,0
"Mettl13",7,8,4,19
"Vamp4",184,84,136,378
"Prrc2c",1080,582,726,2142
"Fmo4",1,3,0,9
"Fmo1",0,0,0,1
"Fmo2",2,1,5,14
"Prrx1",0,0,0,0
"Gorab",16,13,18,41
"Kifap3",182,103,148,392
"Scyl3",52,39,68,143
"BC055324",5,2,7,16
"Mettl18",3,1,3,2
"Gm57120",3,2,7,22
"Sell",2,3,0,0
"Gm16548",1,0,0,0
"F5",3,4,2,21
"Slc19a2",26,8,20,49
"Ccdc181",23,18,13,49
"Blzf1",36,26,43,102
"Nme7",90,50,76,211
"Atp1b1",253,122,307,683
"Gm32391",24,8,21,71
"Gm32569",1,1,1,5
"Gm20743",0,0,1,3
"4930568G15Rik",0,3,2,13
"Sft2d2",19,11,13,65
"Tiprl",43,39,36,139
"Gm38190",13,14,25,37
"Gpr161",30,20,16,84
"Dcaf6",464,213,377,1074
"Gm37864",4,5,1,6
"Mpc2",45,31,47,149
"Adcy10",2,0,1,15
"Mpzl1",122,98,130,438
"Rcsd1",1,1,1,1
"Creg1",25,15,21,58
"Gm16565",2,3,5,6
"Cd247",24,26,25,54
"Pou2f1",226,115,207,579
"Gm26665",0,2,3,2
"Gpa33",1,3,2,11
"Ildr2",2,0,0,1
"Tada1",9,6,10,30
"Pogk",26,19,39,76
"Fam78b",50,27,34,102
"Uck2",278,137,198,806
