,AL.oldAL1,AL.oldAL2,CR.oldCR1,CR.oldCR2
Dgkd,948,1066,849,1603
Gm19582,1,0,1,0
Usp40,667,796,620,1235
Gm20528,10,15,18,26
Ugt1a7c,2,5,4,7
Ugt1a6a,8,8,10,24
Ugt1a5,3,1,4,2
Dnajb3,4,7,5,6
Mroh2a,2,2,2,10
Hjurp,277,274,254,538
Trpm8,3,6,4,5
Arl4c,16,18,3,20
Gm57145,1,2,0,1
Sh3bp4,912,1424,994,1822
Agap1,4625,5231,3639,8606
Gm41914,2,1,0,8
Gm28499,4,2,2,5
4933400F21Rik,13,50,18,53
Asb18,0,0,0,2
Ackr3,3,2,0,0
Cops8,166,136,181,435
Col6a3,1,2,0,2
Mlph,5,27,0,3
Rab17,0,0,0,0
Lrrfip1,66,73,2,26
Ramp1,30,42,20,69
Ube2f,378,420,385,831
Scly,610,641,463,986
Gm17090,20,50,27,47
Espnl,63,42,51,106
Klhl30,0,0,0,7
Erfe,1,0,1,2
Ilkap,349,416,294,686
Hes6,26,25,13,54
Gm57139,1,1,1,1
Per2,1077,612,792,3119
Traf3ip1,141,172,129,213
Asb1,54,65,33,101
Hdac4,1233,1396,835,2053
Gm35992,1,1,0,4
Ndufa10,247,206,224,457
Cops9,16,30,21,48
Gpc1,15,8,5,14
Ankmy1,9,5,7,16
Dusp28,5,6,6,6
5033417F24Rik,2,4,4,0
Rnpepl1,123,190,125,216
9430060I03Rik,6,16,16,19
Capn10,98,117,94,171
Gpr35,16,12,13,38
Kif1a,1320,1124,1000,2322
Crocc2,3,6,3,11
Sned1,611,435,334,806
Mterf4,30,48,34,60
Gm28535,3,4,3,6
Pask,26,24,15,35
Ppp1r7,125,138,122,232
Ano7,15,23,22,27
Hdlbp,1903,2542,1543,3919
Septin2,67,76,87,173
Farp2,365,519,403,740
Stk25,340,346,224,521
Bok,6,2,4,3
Thap4,139,145,117,214
Gm10550,12,25,17,16
Atg4b,304,282,225,601
Dtymk,60,69,45,88
Ing5,117,107,113,279
D2hgdh,72,101,73,124
Gal3st2,2,0,2,1
Fam174a,94,141,113,329
St8sia4,33,54,1,11
Slco4c1,0,2,3,1
Panct2,13,15,16,40
ENSMUSG00000121413,5,3,0,1
Macir,88,114,63,107
Ppip5k2,600,520,471,1137
Gin1,113,135,134,204
Pam,6957,10049,8523,20373
B230216N24Rik,97,149,133,339
1810006J02Rik,5,16,2,8
Gm7967,85,62,147,183
Cntnap5b,1087,1538,1102,2483
Gm28187,3,9,5,13
Cdh20,0,1,1,0
Rnf152,20,6,21,18
Gm28403,112,139,109,205
Pign,826,810,732,1450
Gm28404,12,16,20,31
Relch,1251,1354,1469,2841
Tnfrsf11a,23,28,19,30
Gm7160,79,96,87,174
Zcchc2,707,664,644,1356
Gm20753,5,3,4,7
Phlpp1,1624,1417,1253,2930
Bcl2,1115,1470,837,2220
D630008O14Rik,4,10,4,6
Kdsr,106,97,128,219
Vps4b,530,568,682,1435
Serpinb8,1,0,0,0
D830032E09Rik,12,33,13,102
Cdh7,18,19,7,27
Cdh19,1,0,0,1
Dsel,22,40,26,42
9330185C12Rik,3,1,0,6
Cntnap5a,4,8,4,7
Tsn,161,239,212,427
Nifk,70,73,76,120
Gm57162,2,5,3,3
Clasp1,1002,1054,941,2066
2900060B14Rik,11,18,7,31
Tfcp2l1,31,27,39,70
Gli2,7,7,8,15
Inhbb,3,4,0,6
Ralb,61,95,68,181
Gm27184,3,3,3,7
Tmem185b,8,8,11,9
Epb41l5,791,835,772,1446
Ptpn4,1832,1637,1657,3237
Tmem177,4,6,4,11
Cfap221,0,0,0,1
Sctr,0,0,0,2
Tmem37,2,4,5,5
Dbi,15,23,4,5
3110009E18Rik,21,25,39,49
Steap3,0,3,0,1
2610027F03Rik,1,1,1,2
Insig2,91,167,124,187
Ccdc93,227,263,256,445
Ddx18,217,199,191,271
Dpp10,10665,11320,12988,24384
Actr3,490,689,642,975
Gm57176,1,1,1,0
Slc35f5,276,291,292,510
Gpr39,854,1082,807,1555
Lypd1,1,3,7,6
Nckap5,65,180,236,115
Mgat5,1562,1857,1308,3212
Tmem163,2245,2817,1568,4249
2900009J06Rik,5,4,5,12
Ccnt2,1321,1714,1208,2963
Map3k19,15,24,3,13
Rab3gap1,1018,985,1080,2110
Zranb3,297,325,430,654
Gm28800,1,1,4,9
R3hdm1,1759,2056,1725,3772
